,bid,ask
1459889571.751331,421.21,421.22
1459889572.754573,421.21,421.22
1459889573.757272,421.21,421.22
1459889574.762299,421.21,421.22
1459889575.763826,421.21,421.22
1459889576.767684,421.21,421.22
1459889577.768278,421.21,421.22
1459889578.768533,421.21,421.22
1459889579.769792,421.21,421.22
1459889580.773726,421.21,421.22
1459889581.773831,420.86,421.18
1459889582.774144,420.95,421.1
1459889583.776822,420.98,421.09
1459889584.780509,420.99,421.08
1459889585.78112,421.01,421.08
1459889586.782278,421.01,421.08
1459889587.785683,421.03,421.07
1459889588.786254,421.03,421.07
1459889589.786865,421.05,421.07
1459889590.789518,421.05,421.07
1459889591.790591,421.06,421.07
1459889592.790718,421.06,421.07
1459889593.793887,421.06,421.07
1459889594.79439,421.06,421.07
1459889595.794769,421.06,421.07
1459889596.795655,421.06,421.07
1459889597.797157,421.06,421.07
1459889598.797281,421.03,421.07
1459889599.797737,421.03,421.07
1459889600.797996,421.03,421.07
1459889601.798425,421.06,421.07
1459889602.79881,421.06,421.07
1459889603.799151,421.06,421.07
1459889604.801052,421.06,421.07
1459889605.802655,421.06,421.07
1459889606.802947,421.06,421.07
1459889607.803211,421.06,421.07
1459889608.806803,421.06,421.07
1459889609.807156,421.06,421.07
1459889610.811775,421.06,421.07
1459889611.814179,421.06,421.07
1459889612.814769,421.06,421.07
1459889613.819818,421.06,421.07
1459889614.822408,421.06,421.07
1459889615.827313,421.06,421.07
1459889616.827741,421.06,421.07
1459889617.830739,421.06,421.07
1459889618.830874,421.06,421.07
1459889619.831656,421.06,421.07
1459889620.834782,421.06,421.07
1459889621.836848,421.06,421.07
1459889622.839677,421.06,421.07
1459889623.841854,421.06,421.07
1459889624.847099,421.06,421.07
1459889625.847499,421.06,421.07
1459889626.849179,421.06,421.07
1459889627.851195,421.06,421.07
1459889628.853665,421.06,421.07
1459889629.854877,421.06,421.07
1459889630.85564,421.06,421.07
1459889631.85602,421.06,421.07
1459889632.856252,421.06,421.07
1459889633.856751,421.06,421.07
1459889634.859558,421.06,421.07
1459889635.862553,421.06,421.07
1459889636.866943,421.06,421.07
1459889637.868401,421.06,421.07
1459889638.868631,421.06,421.07
1459889639.870581,421.06,421.07
1459889640.870946,421.06,421.07
1459889641.872621,421.06,421.07
1459889642.873319,421.06,421.07
1459889643.876887,421.06,421.07
1459889644.878532,421.06,421.07
1459889645.882056,421.06,421.07
1459889646.884583,421.06,421.07
1459889647.885851,421.06,421.07
1459889648.886891,421.06,421.07
1459889649.890861,421.06,421.07
1459889650.894134,421.06,421.07
1459889651.894464,421.06,421.07
1459889652.894921,421.06,421.07
1459889653.896333,421.06,421.07
1459889654.896565,421.06,421.07
1459889655.896692,421.06,421.07
1459889656.897258,421.06,421.07
1459889657.901751,421.06,421.07
1459889658.904229,421.06,421.07
1459889659.907909,421.06,421.07
1459889660.909398,421.06,421.07
1459889661.909628,421.06,421.07
1459889662.911526,421.06,421.07
1459889663.915576,421.06,421.07
1459889664.917839,421.06,421.07
1459889665.917954,421.06,421.07
1459889666.918134,421.06,421.07
1459889667.919921,421.06,421.07
1459889668.921479,421.06,421.07
1459889669.922774,421.06,421.07
1459889670.92802,421.06,421.07
1459889671.928885,421.06,421.07
1459889672.929984,421.06,421.07
1459889673.932894,421.06,421.07
1459889674.933406,421.06,421.07
1459889675.935748,421.06,421.07
1459889676.936288,421.06,421.07
1459889677.940436,421.06,421.07
1459889678.941069,421.06,421.07
1459889679.946274,421.06,421.07
1459889680.94735,421.06,421.07
1459889681.951476,421.06,421.07
1459889682.951651,421.06,421.07
1459889683.951746,421.06,421.07
1459889684.956203,421.06,421.07
1459889685.959315,421.06,421.07
1459889686.963169,421.06,421.07
1459889687.967364,421.06,421.07
1459889688.968513,421.06,421.07
1459889689.973658,421.06,421.07
1459889690.973879,421.06,421.07
1459889691.976385,421.06,421.07
1459889692.976587,421.06,421.07
1459889693.977523,421.06,421.07
1459889694.977871,421.06,421.07
1459889695.982177,421.06,421.07
1459889696.986807,421.06,421.07
1459889697.987075,421.06,421.07
1459889698.989975,421.06,421.07
1459889699.993812,421.06,421.07
1459889700.994683,421.06,421.07
1459889701.996139,420.89,421.07
1459889703.00133,420.9,421.05
1459889704.00217,420.91,421.03
1459889705.003118,420.91,421.02
1459889706.004194,420.92,421.0
1459889707.004971,420.92,421.0
1459889708.010077,420.93,420.99
1459889709.010814,420.92,420.98
1459889710.014047,420.93,420.95
1459889711.014461,420.93,420.95
1459889712.014702,420.93,420.94
1459889713.015654,420.93,420.94
1459889714.018209,420.93,420.94
1459889715.022446,420.93,420.94
1459889716.022628,420.93,420.94
1459889717.026922,420.93,420.94
1459889718.027044,420.93,420.94
1459889719.030221,420.93,420.94
1459889720.031459,420.93,420.94
1459889721.036607,420.93,420.94
1459889722.037172,420.93,420.94
1459889723.038434,420.93,420.94
1459889724.042022,420.93,420.94
1459889725.046206,420.93,420.94
1459889726.047831,420.93,420.94
1459889727.048073,420.93,420.94
1459889728.048803,420.93,420.94
1459889729.048948,420.93,420.94
1459889730.04992,420.93,420.94
1459889731.05186,420.93,420.94
1459889732.052631,420.93,420.94
1459889733.054664,420.93,420.94
1459889734.055487,420.93,420.94
1459889735.055847,420.93,420.94
1459889736.059655,420.93,420.94
1459889737.061105,420.93,420.94
1459889738.061787,420.93,420.94
1459889739.061973,420.93,420.94
1459889740.063445,420.93,420.94
1459889741.066587,420.93,420.94
1459889742.071822,420.93,420.94
1459889743.072042,420.93,420.94
